"Género","Municipio de Nacimiento","País","Municipio Dirección","Barrio Dirección","Estrato","Estado civil","EPS","Grupo Sisben","Zona","Nivel de formación","Ocupación","Medio de Transporte","Multiculturalidad","Estado","Fecha de Matrícula","Jornada","Programa","Período","Nivel","Edad"
"Femenino","Medellín","Colombia","Envigado","La Paz","3","Soltero(a)","No Aplica","Sin respuesta","Urbana","Media","Estudiante superior","Sin respuesta","No aplica","Graduado","2016-01-19T10:00:00Z","DIURNA","27T-TÉCNICO LABORAL EN MERCADEO Y VENTAS (Estudiantes Antiguos)","2017-1","SEMESTRE 2","24"
"Femenino","El Carmen De Viboral","Colombia","Envigado","Los Naranjos","3","Soltero(a)","EPS Sura","B3","Urbana","Media","Estudiante básica","A Pie","No aplica","Inactivo","2021-07-31T10:00:00Z","NOCHE","13T-TÉCNICO LABORAL EN AUXILIAR EN SEGURIDAD OCUPACIONAL","2021-2","SEMESTRE 1","18"
"Masculino","Sin respuesta","Colombia","Envigado","Sin respuesta","2","Soltero(a)","No Aplica","Sin respuesta","Urbana","Sin respuesta",,"Sin respuesta","No aplica","Inactivo","2014-06-21T10:00:00Z","DIURNA","10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos)","2014-2","SEMESTRE 1","27"
"Femenino","Sin respuesta","Colombia","Medellín","Sin respuesta",,"Sin Respuesta","No Aplica","Sin respuesta",,"Sin respuesta",,"Sin respuesta","No aplica","Inactivo","2019-05-22T10:00:00Z","NOCHE","CURSO EXTENSIÓN EXCEL","2019-1","SEMESTRE 1","49"
"Masculino","Bello","Colombia","Envigado","Sin respuesta",,"Sin Respuesta","No Aplica","Sin respuesta",,"Sin respuesta",,"Sin respuesta","No aplica","Activo","2021-07-27T10:00:00Z","DIURNA","EXTENSIÓN - BIOSEGURIDAD","2021-2","SEMESTRE 1","31"
"Masculino","Medellín","Colombia","Medellín","El Salado","1","Soltero(a)","EPS Sura","Sin respuesta","Urbana - rural","Sin respuesta","Estudiante básica","A Pie","Indigena","Cancelado","2021-04-05T10:00:00Z","MEDIA TÉCNICA","MEDIA TECNICA TECNICO LABORAL EN ENTRENAMIENTO DEPORTIVO","2021 - MT","DÉCIMO","18"
"Femenino","Envigado","Colombia","Envigado","Zona Centro",,"Sin Respuesta","No Aplica","Sin respuesta",,"Sin respuesta",,"Sin respuesta","No aplica","Activo","2020-09-23T10:00:00Z","DIURNA","EXTENSIÓN HERRAMIENTAS TICS Y COMPETENCIAS COMPORTAMENTALES PARA EL TRABAJO REMOTO EN CASA","2020-2","SEMESTRE 1","36"
"Masculino","Envigado","Colombia","Envigado","Uribe Ángel","2","Separado(a)","EPS Sura","A2","Urbana","Básica secundaria","Empleado","Moto","Cabeza de familia","Graduado","2016-05-11T10:00:00Z","NOCHE","17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO","2017-2","SEMESTRE 2","42"
"Femenino","Medellín","Colombia","Envigado","Uribe Ángel","3","Soltero(a)","EPS Sura","A1","Urbana","Sin respuesta",,"A Pie","No aplica","Inactivo","2021-08-21T10:00:00Z","MEDIA TÉCNICA","MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL","2021 - MT","NOVENO","18"
"Masculino","Envigado","Colombia","Envigado","El Salado","2","Casado(a)","EPS Sura","Sin respuesta","Urbana","Sin respuesta","Empleado","Público Bus o Buseta","No aplica","Sancionado","2021-07-31T10:00:00Z","NOCHE","25T-TÉCNICO LABORAL EN MECANICA DE MOTOCICLETAS","2021-2","SEMESTRE 1","53"
"Femenino","Itagui","Colombia","Envigado","Barrio Obrero","2","Soltero(a)","Salud Total EPS","Sin respuesta","Urbana","Media","Desempleado","Público Bus o Buseta","No aplica","Cancelado","2018-02-01T10:00:00Z","NOCHE","19T-TÉCNICO LABORAL EN GASTRONOMIA INTERNACIONAL","2018-2","SEMESTRE 2","22"
"Masculino","Envigado","Colombia","Envigado","Alto De Misael","2","Soltero(a)","EPS Sura","Sin respuesta","Urbana","Sin respuesta","Empleado","Particular Motocicleta","No aplica","Inactivo",,,,,,"25"
"Femenino","Envigado","Colombia","Envigado","Sin respuesta","3","Soltero(a)","No Aplica","Sin respuesta",,"Sin respuesta",,"Sin respuesta","No aplica","Graduado","2016-02-25T10:00:00Z","MEDIA TÉCNICA","MEDIA TÉCNICA CONTAC CENTER","2015- MEDIA TÉCNICA","ONCE","23"
"Femenino","Sin respuesta","Colombia","Envigado","Alto De Misael","2","Soltero(a)","EPS Sura","D2","Urbana","Media","Empleado","Público Bus o Buseta","No aplica","Activo","2022-02-04T10:00:00Z","NOCHE","14T-TÉCNICO LABORAL EN CONTABILIDAD","2022-1","SEMESTRE 1","28"
"Femenino","Medellín","Colombia","Envigado","La Mina","3","Soltero(a)","Coomeva EPS","Sin respuesta","Urbana","Media","Independiente","A Pie","No aplica","Graduado","2020-08-24T10:00:00Z","DIURNA","22T-TÉCNICO LABORAL EN MARKETING DIGITAL","2021-2","SEMESTRE 2","22"
"Masculino","Medellín","Colombia","Medellín","Sin respuesta","4","Soltero(a)","SISBEN","Sin respuesta","Urbana","Sin respuesta","Estudiante básica","A Pie","Desplazado","Cancelado","2020-07-23T10:00:00Z","MEDIA TÉCNICA","MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL","2020 - MT","NOVENO","17"
"Masculino","Medellín","Colombia","Envigado","Los Naranjos","3","Soltero(a)","Savia Salud","Sin respuesta","Urbana","Sin respuesta","Estudiante básica","Bicicleta","No aplica","Inactivo","2020-07-24T10:00:00Z","MEDIA TÉCNICA","MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL","2020 - MT","NOVENO","17"
"Masculino","Envigado","Colombia","Envigado","La Mina","2","Soltero(a)","EPS Sura","A2","Urbana","Media","Desempleado","A Pie","No aplica","Activo","2021-07-31T10:00:00Z","DIURNA","22T-TÉCNICO LABORAL EN MARKETING DIGITAL","2022-1","SEMESTRE 2","19"
"Masculino","Envigado","Colombia","Envigado","San Rafael","2","Soltero(a)","EPS Sura","Sin respuesta","Urbana","Media","Estudiante superior","Sin respuesta","No aplica","Inactivo","2016-01-13T10:00:00Z","DIURNA","26T-TÉCNICO LABORAL EN MECÁNICA DE MOTOS  (Estudiantes Antiguos)","2016-2","SEMESTRE 2","24"
"Masculino","Medellín","Colombia","Envigado","El Dorado","3","Soltero(a)","EPS Sura","Sin respuesta","Urbana","Media","Independiente","Particular Motocicleta","No aplica","Aplazamiento Semestre","2020-01-16T10:00:00Z","NOCHE","11T-TÉCNICO LABORAL EN AUXILIAR CONTABLE (Solo Estudiantes Antiguos)","2020-2","SEMESTRE 2","42"
"Masculino","Envigado","Colombia","Envigado","La Sebastiana","2","Soltero(a)","No Aplica","Sin respuesta","Urbana","Media","Estudiante superior","Público Bus o Buseta","No aplica","Graduado","2020-01-21T10:00:00Z","DIURNA","19T-TÉCNICO LABORAL EN GASTRONOMIA INTERNACIONAL","2021-1","SEMESTRE 2","18"
"Femenino","Itagui","Colombia","Envigado","El Dorado","2","Soltero(a)","Coomeva EPS","Sin respuesta","Urbana","Media","Estudiante superior","Sin respuesta","No aplica","Graduado","2016-01-26T10:00:00Z","NOCHE","28T-TÉCNICO LABORAL EN PANADERIA (Estudiantes Antiguos)","2016-2","SEMESTRE 2","24"
"Femenino","Estados Unidos de America","Colombia","Medellín","Sin respuesta","3","Soltero(a)","EPS Sura","Sin respuesta","Urbana","Sin respuesta",,"Peatón","No aplica","Cancelado","2020-07-24T10:00:00Z","MEDIA TÉCNICA","MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL","2020 - MT","NOVENO","18"
"Masculino","Sin respuesta","Colombia","Bello","Sin respuesta","2","Soltero(a)","No Aplica","Sin respuesta","Urbana","Sin respuesta",,"Sin respuesta","No aplica","Graduado","2014-06-21T10:00:00Z","NOCHE","17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO","2015-2","SEMESTRE 2","33"
"Femenino","Medellín","Colombia","Envigado","San José","2","Soltero(a)","No Aplica","Sin respuesta","Urbana","Sin respuesta","Estudiante básica","A Pie","No aplica","Inactivo","2020-07-25T10:00:00Z","MEDIA TÉCNICA","MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL","2020 - MT","NOVENO","16"
"Masculino","Itagui","Colombia","Envigado","La Magnolia","3","Soltero(a)","Nueva Promotora de Salud - Nueva EPS","Sin respuesta","Urbana","Media","Estudiante superior","Peatón","No aplica","Inactivo","2018-07-16T10:00:00Z","NOCHE","31T-TÉCNICO LABORAL EN SISTEMAS (Estudiantes Antiguos)","2018-2","SEMESTRE 1","23"
